Sayornis phoebe
Sciurus carolinensis
Sclerophrys capensis
Sclerophrys garmani
Sclerophrys gutturalis
Sclerophrys pantherina
Scolopax minor
Scythrops novaehollandiae
Seiurus aurocapilla
Sericornis frontalis
Serinus canaria
Serinus canaria domestica
Serinus serinus
Serpophaga subcristata
Setophaga aestiva
Setophaga americana
Setophaga citrina
Setophaga coronata
Setophaga pinus
Setophaga pitiayumi
Setophaga ruticilla
Setophaga virens
Sicalis flaveola
Sinfonia opalifera
Sitta canadensis
Sitta carolinensis
Sitta europaea
Sittasomus griseicapillus
Sphecotheres vieilloti
Sphenoeacus afer
Spilopelia chinensis
Spilopelia senegalensis
Spilornis cheela
Spinus magellanicus
Spinus spinus
Spinus tristis
Spizella passerina
Spizella pusilla
Strepera graculina
Strepera versicolor
Streptopelia capicola
Streptopelia decaocto
Streptopelia semitorquata
Strix aluco
Strix varia
Strix woodfordii
Strongylopus bonaespei
Strongylopus fasciatus
Strongylopus grayii
Sturnella neglecta
Sturnus vulgaris
Sus scrofa domesticus
Sylvia atricapilla
Sylvia borin
Sylvirana guentheri
Synallaxis albescens
Synallaxis azarae
Synallaxis frontalis
Synallaxis spixi
Systellura longirostris
Tamias striatus
Tapera naevia
Taraba major
Tauraco corythaix
Telophorus viridis
Telophorus zeylonus
Terpsiphone viridis
Tettigonia viridissima
Thamnophilus caerulescens
Thamnophilus doliatus
Thopha saccata
Thraupis episcopus
Thraupis sayaca
Thryomanes bewickii
Thryothorus ludovicianus
Todiramphus sanctus
Tolmomyias sulphurescens
Tomopterna delalandii
Tomopterna natalensis
Toxostoma rufum
Trachyphonus vaillantii
Trichoglossus moluccanus
Troglodytes aedon
Troglodytes hiemalis
Troglodytes musculus
Troglodytes pacificus
Troglodytes troglodytes
Trogon viridis
Trombonia linearis
Turdus amaurochalinus
Turdus falcklandii
Turdus iliacus
Turdus leucomelas
Turdus merula
Turdus migratorius
Turdus olivaceus
Turdus philomelos
Turdus pilaris
Turdus rufiventris
Turdus viscivorus
Tyrannus melancholicus
Upupa epops
Vanellus armatus
Vanellus chilensis
Vanellus indicus
Vanellus miles
Vireo chivi
Vireo gilvus
Vireo griseus
Vireo olivaceus
Vireo solitarius
Volatinia jacarina
Yoyetta celis
Yoyetta repetens
Zanda funerea
Zenaida macroura
Zhangixalus arvalis
Zhangixalus moltrechti
Zonotrichia albicollis
Zonotrichia capensis
Zonotrichia leucophrys
Zosterops lateralis
Zosterops simplex
Zosterops virens
